epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,1.5548539179959762,0.6098302687411599,0.6088604703156791,0.6098302687411599,0.60800008573778,0.8386138613861386,0.9617938993079435,0.7398679867986798,0.7499269987617809,0.7398679867986799,0.7375335822621637,0.9248184818481848
2,0.9812739921594105,0.7306930693069307,0.7289291330867551,0.7306930693069308,0.7295327428235622,0.9245403111739745,0.8720719391048545,0.7636963696369637,0.7735777882577327,0.7636963696369636,0.7642110292286332,0.9346534653465347
3,0.886208989478574,0.755007072135785,0.7537536304965069,0.7550070721357849,0.7540897321848367,0.9357142857142857,0.8298332160534245,0.7722772277227723,0.7762406711005985,0.7722772277227722,0.7711115545088105,0.9363036303630363
4,0.8207317878434479,0.7707779349363508,0.7697489913139497,0.7707779349363508,0.7699947778397925,0.9417256011315417,0.8091905407543623,0.7800660066006601,0.7872994050703774,0.7800660066006601,0.7805514086808858,0.9377557755775577
5,0.7733495987085507,0.7830127298444131,0.7819746076214336,0.7830127298444132,0.7823041953912125,0.9481612446958981,0.8003941380072742,0.784092409240924,0.7873942867116044,0.784092409240924,0.7826288064316673,0.9400660066006601
6,0.7372255999971145,0.7909193776520509,0.7898441764173415,0.7909193776520508,0.7901946477151919,0.9529137199434229,0.789485974933448,0.7843564356435644,0.7877437242317202,0.7843564356435644,0.7833951558269262,0.9403960396039603
7,0.7081952738424676,0.7959830268741159,0.7951372191867857,0.7959830268741158,0.7953495065948066,0.9563507779349364,0.7899938756955339,0.7873267326732674,0.7914479587042672,0.7873267326732672,0.7863572035799679,0.9401320132013201
8,0.6765054343040121,0.8052192362093352,0.8041741113472797,0.8052192362093351,0.8045098526901024,0.9594766619519095,0.7811844974067739,0.7892409240924092,0.7939245238996382,0.7892409240924093,0.7891553300086056,0.9412541254125413
9,0.6443009659728033,0.812984441301273,0.8121392585634133,0.8129844413012729,0.8124095839949508,0.9637199434229137,0.7799556972878208,0.7915511551155116,0.7946923864831453,0.7915511551155113,0.7909397045171023,0.9420462046204621
10,0.6166891692956064,0.8185572842998585,0.8177959683625303,0.8185572842998585,0.8180426006920165,0.9666336633663366,0.7787562247156703,0.79003300330033,0.7922250114091635,0.7900330033003299,0.7889213295137962,0.9419801980198019
11,0.5992574091965946,0.8221499292786422,0.8214042004069168,0.8221499292786423,0.8216421454432465,0.9683734087694483,0.7767251184828604,0.7931353135313531,0.7980126129048999,0.793135313531353,0.7934566497193194,0.9427062706270627
12,0.568680156730695,0.8304667609618105,0.8298857821114335,0.8304667609618106,0.8300307554884049,0.9718387553041018,0.7803298501527742,0.7932013201320132,0.7973576711119704,0.7932013201320133,0.7934055476453568,0.9422442244224423
13,0.548160010824109,0.8352899575671853,0.8346949746381945,0.8352899575671854,0.8348669201386044,0.973988684582744,0.7781366349053461,0.7926732673267327,0.7961024079427879,0.7926732673267328,0.7922717291915937,0.9430363036303631
14,0.5333622960895932,0.83997171145686,0.8394477969398219,0.83997171145686,0.8395512868619286,0.9753323903818953,0.7874327804074429,0.7912211221122112,0.7966170980008066,0.7912211221122113,0.7919083398572189,0.9418481848184819
15,0.5217162108893442,0.8422913719943423,0.8420090479592928,0.8422913719943425,0.8420378259221849,0.9761951909476662,0.7849421063114708,0.7951155115511551,0.79797556035121,0.7951155115511551,0.7947504598403113,0.9436963696369637
16,0.4976128903878629,0.8485289957567185,0.8481667156216847,0.8485289957567185,0.8482327459446435,0.978953323903819,0.7891876280976601,0.7933333333333333,0.7966268868805393,0.7933333333333333,0.7933470733749075,0.9429042904290429
17,0.48818400209324364,0.851018387553041,0.8505990826270493,0.851018387553041,0.8507035819405485,0.9800707213578501,0.7949677677201753,0.7950495049504951,0.7983086169277033,0.795049504950495,0.7945269144363107,0.9428382838283829
18,0.4619591974908594,0.8573550212164074,0.857067370288847,0.8573550212164074,0.8570709440430854,0.9823196605374823,0.7961723838230171,0.7933333333333333,0.7961794249069075,0.7933333333333334,0.7934472672983911,0.9419141914191419
19,0.4514932438305446,0.8591937765205092,0.8588176225572116,0.8591937765205092,0.8589309497940556,0.9829278642149929,0.8014464322804618,0.7923432343234323,0.7960940008143144,0.7923432343234321,0.7924335772975991,0.9419141914191419
20,0.4439740232413021,0.861994342291372,0.8616670856577257,0.861994342291372,0.8617322080772702,0.9846817538896747,0.8055981721185616,0.7942574257425743,0.7957653460381028,0.7942574257425744,0.7936733426224732,0.9427722772277227
