epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,2.8498819628665606,0.3430693069306931,0.3335753191153686,0.34306930693069315,0.33396207582331694,0.5912729844413013,2.083105473848853,0.48904290429042907,0.49531534478226474,0.48904290429042896,0.47998512833188073,0.7444884488448845
2,2.0883848371465272,0.4815275813295615,0.4715254844548167,0.4815275813295615,0.4746472969628738,0.7439745403111739,1.9011115953552447,0.523102310231023,0.5222738850307694,0.523102310231023,0.5155748888138606,0.7743894389438943
3,1.955299497453293,0.5093493635077794,0.5013480410522609,0.5093493635077794,0.5036565758299583,0.7658981612446959,1.8544837286763458,0.5370297029702971,0.5384997985732636,0.537029702970297,0.529212747386057,0.7805280528052805
4,1.882821499947274,0.5218811881188119,0.5140242880263558,0.5218811881188119,0.5164460329391278,0.77995756718529,1.8232000616123967,0.5431023102310231,0.5459306497342303,0.5431023102310232,0.5364297039365118,0.7815841584158416
5,1.835609796536188,0.532970297029703,0.5258759450213184,0.532970297029703,0.5280427186028166,0.7905091937765205,1.7998949497367682,0.5477227722772278,0.5429870392087617,0.5477227722772278,0.5382538810579969,0.788976897689769
6,1.7871732454488773,0.5404526166902405,0.5328888549527449,0.5404526166902405,0.5353589696447812,0.7978925035360679,1.788699340788838,0.5511551155115512,0.5522684662944086,0.551155115511551,0.5461218463529991,0.7882508250825082
7,1.7544831947154,0.5478783592644979,0.541402963499815,0.5478783592644978,0.5435309436452688,0.8022489391796322,1.7775396642590513,0.5527392739273927,0.5490290435171871,0.5527392739273929,0.5450250757460872,0.7910891089108911
8,1.7238323621399163,0.5538613861386139,0.5471534942138557,0.5538613861386138,0.5493385365871546,0.808925035360679,1.762132814567868,0.5573597359735973,0.5543290700446459,0.5573597359735973,0.5506689850942199,0.7937953795379538
9,1.6964335777601056,0.5583451202263083,0.5522479670660652,0.5583451202263083,0.5540528076053498,0.8146534653465346,1.7706276729476726,0.5537953795379538,0.5534507089517524,0.5537953795379539,0.5480720252410207,0.7914191419141914
10,1.6799991638555891,0.5624469589816125,0.5562348242777024,0.5624469589816126,0.5583881325384006,0.8177510608203677,1.77089462945957,0.5527392739273927,0.5508682661712015,0.5527392739273927,0.5458969534769768,0.7916831683168317
11,1.651080585497272,0.5702121640735502,0.5645176462687685,0.5702121640735501,0.5663347232834867,0.8219236209335219,1.759656115758537,0.5597359735973597,0.556763055832022,0.5597359735973599,0.5529236683249881,0.7926072607260726
12,1.6286515579466436,0.5732814710042433,0.5677548772866556,0.5732814710042433,0.5695807904140926,0.8269165487977369,1.7686280275414092,0.5576237623762377,0.5519477978726777,0.5576237623762377,0.5494713889015589,0.792013201320132
13,1.6159969073002882,0.5752758132956153,0.5698681793094256,0.5752758132956153,0.5715716000430628,0.8293493635077793,1.7614053687168034,0.5546534653465347,0.5561211256660232,0.5546534653465346,0.5499007169993826,0.791947194719472
14,1.602558108967804,0.576039603960396,0.5706735787893784,0.5760396039603961,0.5724319729093964,0.8314427157001414,1.7540490853432382,0.5565676567656765,0.5540420582651255,0.5565676567656765,0.5517018320836286,0.7963036303630363
15,1.587347407792886,0.579052333804809,0.5739692309903882,0.579052333804809,0.5757026312585432,0.8336775106082037,1.7630530207542696,0.5551815181518152,0.5517342294046605,0.5551815181518152,0.5488097326854676,0.794983498349835
16,1.571142769028476,0.5836916548797737,0.5782965213020488,0.5836916548797737,0.5801305185119199,0.8362376237623762,1.754217981867271,0.5572277227722773,0.5568955296724433,0.5572277227722772,0.5519890409866165,0.7955115511551155
