epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,2.8634159150319185,0.34072135785007074,0.32763420658828096,0.3407213578500708,0.3294113534255732,0.587072135785007,2.0640321320039603,0.4912871287128713,0.49319165114198077,0.49128712871287117,0.48022966964344127,0.7477227722772277
2,2.068656835434629,0.4863790664780764,0.4765703375789928,0.4863790664780764,0.4795149890708825,0.7462942008486563,1.9072619101867423,0.5256765676567656,0.5237806749868651,0.5256765676567656,0.5167890448749971,0.7730693069306931
3,1.899622861371182,0.5218670438472419,0.5134452298460664,0.5218670438472419,0.5161020372205539,0.7788967468175388,1.8564286319021344,0.5349174917491749,0.5350109729133324,0.5349174917491749,0.5271174673201177,0.7794059405940594
4,1.8092592215504302,0.538981612446959,0.5316057929572768,0.538981612446959,0.5339409784615332,0.7940735502121641,1.8371008278591798,0.5359075907590759,0.5376870960614135,0.5359075907590759,0.5289492860801163,0.7828382838283828
5,1.724131418151262,0.5569024045261669,0.5498134265734047,0.5569024045261669,0.5520614715347939,0.8081753889674682,1.8151414535383974,0.5424422442244224,0.5387065444077855,0.5424422442244224,0.5348218493695168,0.7845544554455446
6,1.656790294060444,0.5709193776520509,0.5647351275081537,0.570919377652051,0.566603481749619,0.8212446958981613,1.8127144215996116,0.5409240924092409,0.5387527677180025,0.5409240924092409,0.5350843303481387,0.784950495049505
7,1.6078281492357376,0.5801272984441301,0.5745451462706489,0.5801272984441302,0.5763564570459414,0.82991513437058,1.8046291299542971,0.5434983498349835,0.5401165541252486,0.5434983498349836,0.5360499271430803,0.7855445544554456
8,1.5521533706333208,0.5913578500707214,0.5858028228878219,0.5913578500707213,0.5874994497772638,0.8394483734087694,1.8067247207093946,0.5443564356435644,0.5426921815192058,0.5443564356435644,0.5386981838530388,0.7867986798679868
9,1.5048780849462182,0.5993352192362094,0.5939169843518086,0.5993352192362092,0.5955737141015114,0.8478076379066478,1.800804538506486,0.5495709570957096,0.5448831753354514,0.5495709570957096,0.5423812809398911,0.7877227722772278
10,1.4744422484321,0.6047807637906648,0.5999921763037989,0.6047807637906648,0.6014757804142039,0.8527722772277228,1.8075559433065231,0.546006600660066,0.5420766223397596,0.5460066006600659,0.5391452068638529,0.7868646864686468
11,1.4283296806033294,0.6161527581329561,0.6113571966004676,0.6161527581329562,0.6128090051050082,0.8608062234794908,1.8119243182915665,0.5436963696369637,0.5373154475149023,0.5436963696369638,0.536290217593523,0.785016501650165
12,1.3946133279328299,0.6218246110325318,0.6172351648129341,0.6218246110325318,0.618720270449218,0.8678359264497878,1.8165344222701423,0.5446204620462046,0.5397083659046855,0.5446204620462045,0.5379297080299776,0.7865346534653466
13,1.370116077157362,0.6277510608203678,0.6237527819063303,0.6277510608203677,0.6250527320531075,0.8716124469589817,1.8295953117974915,0.5408580858085809,0.5374461496349946,0.540858085808581,0.5347864369275804,0.7847524752475248
14,1.3410786785735436,0.6314992927864215,0.6275620154009741,0.6314992927864216,0.6287488736718677,0.8781329561527581,1.840011669133756,0.5384158415841584,0.5338331592353307,0.5384158415841584,0.5316592381113778,0.7827722772277228
