epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,1.4256269864449238,0.6732107496463932,0.6748276129003882,0.6732107496463932,0.672031915953164,0.8707496463932107,0.7591846438366981,0.7936633663366337,0.8002549833181475,0.7936633663366336,0.7937854325892856,0.9452145214521452
2,0.8241457539704092,0.7775954738330976,0.7775713589583451,0.7775954738330976,0.7772614958023764,0.9412871287128712,0.6919634784094177,0.8132013201320132,0.8187157759501056,0.8132013201320133,0.8140446474910967,0.9528052805280528
3,0.7571286546121729,0.792008486562942,0.7921104603252267,0.7920084865629418,0.7918641642824775,0.9477086280056577,0.6584502321973492,0.8194059405940594,0.8227184940615053,0.8194059405940595,0.8195707731979598,0.9555775577557756
4,0.7203909197959738,0.8022913719943423,0.8026105015506644,0.8022913719943422,0.802172891483656,0.9525318246110326,0.6472129590597877,0.8229042904290429,0.8287106762403063,0.822904290429043,0.8237337922338731,0.9565016501650165
5,0.6936356920332686,0.8078500707213578,0.8083245788226935,0.807850070721358,0.8078729828831271,0.9550777934936351,0.6402127351383171,0.8254785478547855,0.8289428861581826,0.8254785478547855,0.8251385870362208,0.9563696369636964
6,0.6705308008177109,0.8112022630834512,0.8108243186055089,0.8112022630834512,0.8108214493150748,0.9580339462517681,0.6241422886108802,0.8285808580858086,0.8317109400992048,0.8285808580858086,0.8285112289645201,0.9582838283828383
7,0.6442601781855885,0.819009900990099,0.8188042020454719,0.8190099009900992,0.8187191048037387,0.95997171145686,0.6212500031710458,0.8291749174917492,0.8331772464716134,0.8291749174917493,0.8294729249479056,0.9570957095709571
8,0.6300503284287082,0.822927864214993,0.8230537646111433,0.8229278642149929,0.8228094742868273,0.960990099009901,0.6193170132810133,0.8322772277227722,0.8354829959760756,0.8322772277227721,0.8323414018214222,0.9584158415841584
9,0.6199823526108619,0.8226732673267326,0.8225880050164551,0.8226732673267327,0.8224512768617068,0.9628571428571429,0.6140730309722447,0.831023102310231,0.8338905059483588,0.831023102310231,0.8311050742366987,0.959009900990099
10,0.6107837801101016,0.8255304101838755,0.8254049715685555,0.8255304101838754,0.8253364377876963,0.9642291371994343,0.6149458832945367,0.8313531353135314,0.833965144756114,0.8313531353135313,0.8309518552850306,0.9583498349834983
11,0.5906179546331921,0.8286987270155587,0.8283103716336456,0.8286987270155587,0.828304601716898,0.9668316831683168,0.6154609188230911,0.8323432343234324,0.8370862020026274,0.8323432343234326,0.8324683665275047,0.9596699669966997
12,0.5838810538807212,0.8306223479490806,0.8305171392202373,0.8306223479490807,0.8304296061842795,0.9676661951909477,0.6170577081201887,0.8311551155115512,0.8348841075170019,0.831155115511551,0.8309585348827396,0.9597359735973597
13,0.5742150163279565,0.8328854314002829,0.8330162469772793,0.8328854314002828,0.8328149889036464,0.9682036775106082,0.6128523400750491,0.833069306930693,0.8355824727077762,0.833069306930693,0.8329155728573564,0.959009900990099
