epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,1.2482785347850185,0.7108062234794909,0.7116051300413335,0.710806223479491,0.7093475203313132,0.8926732673267327,0.543181232804119,0.851947194719472,0.8547796540321688,0.851947194719472,0.8516243378165478,0.9676567656765677
2,0.6132708184284065,0.8295332390381895,0.8290483702810829,0.8295332390381897,0.8291251378157165,0.9636633663366336,0.49545329725388254,0.862046204620462,0.8660577411262057,0.8620462046204621,0.8622605508736526,0.9715511551155116
3,0.5570687317409813,0.8428005657708628,0.84263378474246,0.8428005657708629,0.8425668040572838,0.9691230551626592,0.4742387393048101,0.8696369636963697,0.8715478936978112,0.8696369636963699,0.8694129286980415,0.9733333333333334
4,0.5164962335118478,0.8531683168316831,0.8530858207707129,0.853168316831683,0.8529900286383494,0.9726449787835927,0.46347544057534473,0.8718151815181518,0.8757497194948238,0.8718151815181518,0.8721945079629276,0.9733333333333334
5,0.4885857800833744,0.8596605374823196,0.8595285010979441,0.8596605374823197,0.8594787129122482,0.975007072135785,0.4503883951725346,0.8764356435643564,0.8779065194147748,0.8764356435643565,0.8762911265609592,0.9748514851485148
6,0.4722151205900535,0.8643564356435643,0.8642338777608288,0.8643564356435643,0.8641711548565134,0.9763932107496464,0.45108078314526245,0.8757095709570957,0.8789719207845108,0.8757095709570955,0.8755342254551688,0.9741254125412542
7,0.4537438690527494,0.8677934936350777,0.8676262784980215,0.8677934936350776,0.8676042517091063,0.9781329561527581,0.44360777629484044,0.8793399339933994,0.8812972126084335,0.8793399339933994,0.8793826633553096,0.9745874587458746
8,0.43787488979699757,0.872022630834512,0.8719335978111115,0.8720226308345123,0.8718885416287133,0.97997171145686,0.4438036369805289,0.8772937293729373,0.8789266649639293,0.877293729372937,0.8771587039262484,0.9744554455445544
9,0.4211765336619408,0.8748939179632249,0.8747646867550476,0.8748939179632248,0.8747443547966615,0.9812305516265912,0.4423374632561561,0.8795379537953796,0.8814380394329148,0.8795379537953795,0.8795984078851468,0.9753795379537954
10,0.412925983475155,0.8760961810466761,0.8761038451000767,0.8760961810466762,0.8760139971451015,0.9817256011315417,0.44527331447837376,0.8778217821782178,0.8798635942027314,0.8778217821782178,0.8774004037507066,0.9755775577557756
11,0.3989418665354458,0.8795190947666195,0.8794600313014787,0.8795190947666196,0.8793882814916604,0.9835360678925036,0.4419775071710643,0.8782178217821782,0.8801585991201386,0.8782178217821781,0.8781752743571507,0.9755775577557756
12,0.3890705579864928,0.8837199434229137,0.8836128452152249,0.8837199434229136,0.8835918947675084,0.9836067892503536,0.44393447100526034,0.877953795379538,0.879903603265715,0.877953795379538,0.8778305535737007,0.9745214521452146
