epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_top5_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_top5_accuracy
1,1.2259582867143515,0.7168458274398869,0.7191307389446201,0.7168458274398867,0.7163362364774982,0.8939038189533239,0.5341378054996528,0.8532013201320132,0.8554983301418095,0.853201320132013,0.8528645607243353,0.9699009900990099
2,0.5881475519240325,0.8357567185289958,0.8354980958454978,0.8357567185289958,0.8354689609175695,0.9662659123055163,0.4940306046693632,0.8644224422442244,0.8696824501589987,0.8644224422442242,0.8645578079822951,0.9716831683168317
3,0.5259986846711713,0.8513578500707214,0.8512565988226363,0.8513578500707214,0.851145615187605,0.971980198019802,0.47532119768680914,0.8708910891089109,0.8728720849959892,0.8708910891089107,0.870558732944987,0.9734653465346534
4,0.4854436814161136,0.861018387553041,0.8608861678894264,0.861018387553041,0.8608545605067962,0.9748797736916549,0.4709234476128821,0.8699669966996699,0.8722061736052668,0.8699669966996699,0.8694285779693811,0.973003300330033
5,0.4645309901911939,0.8664214992927864,0.8661938536692044,0.8664214992927863,0.8662035085676935,0.9770721357850071,0.45874868881190967,0.8753795379537954,0.8777851794376583,0.8753795379537956,0.875486580235142,0.9737953795379538
6,0.43727774666930525,0.8728854314002829,0.8728054656521829,0.8728854314002829,0.8727588496523663,0.9795473833097595,0.457803846617343,0.8751155115511551,0.8777313946727173,0.875115511551155,0.8744837619496285,0.973993399339934
7,0.42139046091254395,0.8762517680339462,0.8762520791043577,0.8762517680339461,0.8761383394201093,0.981032531824611,0.4511075838839654,0.879075907590759,0.8808153830349263,0.879075907590759,0.8788067427387644,0.9751815181518152
8,0.3981176747307919,0.8839179632248939,0.8839209518209117,0.8839179632248939,0.883830998871344,0.9828995756718529,0.453898558561558,0.8772277227722772,0.880041344402516,0.8772277227722773,0.8775715608789277,0.9746534653465346
9,0.3861620200017554,0.8854738330975954,0.8853999363085093,0.8854738330975955,0.8853600251829602,0.9835926449787836,0.4532575032341205,0.8784158415841584,0.8807157518128433,0.8784158415841584,0.8783175578920799,0.9755775577557756
10,0.36726941981443756,0.89005657708628,0.8899268050938025,0.8900565770862799,0.8899314377946707,0.9853606789250353,0.4502534321471803,0.8787458745874588,0.8818962697736336,0.8787458745874586,0.8790802664374973,0.974917491749175
11,0.35838008431430585,0.8923620933521924,0.8924695282193452,0.8923620933521924,0.8923448867475392,0.9864497878359264,0.4510820913275476,0.8798019801980198,0.8817479783156671,0.8798019801980198,0.8797350163164211,0.974983498349835
12,0.34409514667795604,0.8948939179632249,0.8948731656949921,0.894893917963225,0.8948175395389867,0.987991513437058,0.4516260211617246,0.8792079207920792,0.8806639599726005,0.879207920792079,0.8790135118523056,0.9748514851485148
